Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
fly_judge_empty,raw\sound\wpn\pistol\judge\foley\fly_judge_empty.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,100,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_judge_load,raw\sound\wpn\pistol\judge\foley\load\fly_judge_load_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_judge_load,raw\sound\wpn\pistol\judge\foley\load\fly_judge_load_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_judge_open,raw\sound\wpn\pistol\357\reload\fly_357_open.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_1straise_npc,raw\sound\fly\gear\rattle\fly_cloth_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_1straise_npc,raw\sound\fly\gear\rattle\fly_cloth_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_1straise_npc,raw\sound\fly\gear\rattle\fly_cloth_02.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_1straise_npc,raw\sound\fly\gear\rattle\fly_cloth_03.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_1straise_plr,raw\sound\fly\gear\rattle\fly_cloth_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_1straise_plr,raw\sound\fly\gear\rattle\fly_cloth_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_1straise_plr,raw\sound\fly\gear\rattle\fly_cloth_02.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_1straise_plr,raw\sound\fly\gear\rattle\fly_cloth_03.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_dryfire_npc,raw\sound\wpn\pistol\dry_fire\npc\dry_fire_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,85,85,900,900,900,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,-281,281,20,90,0.25,0.8,3d,default,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_dryfire_plr,raw\sound\wpn\pistol\dry_fire\plr\dry_fire_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,65,0,90,90,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,0,0,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_npc,raw\sound\wpn\pistol\judge\plr\shot\wpn_judge_shot_plr.LN65.pc.snd.wav,wpn_judge_LFE_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,85,85,900,900,900,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,-281,281,20,90,0.25,0.8,3d,default,nonlooping,,1,0,0,0,0,0.3,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_npc_decay,raw\sound\wpn\assault\decay\ext\wpn_assault_decay_ext.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,77,77,50,900,900,allon,default,rcurve1,default,3,1,priority,oldest,-100,100,20,70,0.15,1,3d,quad,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,ringoff_plr,outdoor,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_npc_decay,raw\sound\wpn\shotgun\decay\int\wpn_shotgun_decay_int.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,67,67,50,900,900,allon,default,rcurve1,default,3,1,priority,oldest,-100,100,20,70,0.15,1,3d,quad,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,ringoff_plr,indoor,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_npc_dist,raw\sound\wpn\dist_guns\pis\wpn_pistol_dist_00.LN65.pc.snd.wav,wpn_judge_fire_npc_decay,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,81,81,900,6000,12500,sindelay,default,sindelay,allon,6,2,priority,oldest,-300,300,90,40,0.25,1,3d,default,nonlooping,variant,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_npc_dist,raw\sound\wpn\dist_guns\pis\wpn_pistol_dist_01.LN65.pc.snd.wav,wpn_judge_fire_npc_decay,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,81,81,900,6000,12500,sindelay,default,sindelay,allon,6,2,priority,oldest,-300,300,90,40,0.25,1,3d,default,nonlooping,variant,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_npc_dist,raw\sound\wpn\dist_guns\pis\wpn_pistol_dist_02.LN65.pc.snd.wav,wpn_judge_fire_npc_decay,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,81,81,900,6000,12500,sindelay,default,sindelay,allon,6,2,priority,oldest,-300,300,90,40,0.25,1,3d,default,nonlooping,variant,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_npc_pap,raw\sound\wpn\pap\pap_shot_st.LN65.pc.snd.wav,wpn_judge_flux_l_npc_pap,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,82,82,75,1250,1250,allon,default,allon,default,10,3,priority,oldest,-100,100,50,90,0.35,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_plr,raw\sound\wpn\pistol\judge\plr\shot\wpn_judge_shot_plr.LN65.pc.snd.wav,wpn_judge_LFE,loaded,bus_fx,grp_weapon,snp_wpn_1p,,65,0,90,90,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,0,0,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_plr_decay,raw\sound\wpn\assault\decay\ext\wpn_assault_decay_ext.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,60,0,83,83,0,5000,5000,allon,default,allon,default,3,8,oldest,oldest,-50,50,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,ringoff_plr,outdoor,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_plr_decay,raw\sound\wpn\shotgun\decay\int\wpn_shotgun_decay_int.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,60,0,83,83,0,5000,5000,allon,default,allon,default,3,8,oldest,oldest,-50,50,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,ringoff_plr,indoor,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_plr_lh,raw\sound\wpn\pistol\judge\plr\shot\wpn_judge_shot_plr.LN65.pc.snd.wav,wpn_judge_LFE,loaded,bus_fx,grp_weapon,snp_wpn_1p,wpn_cmn_shot_plr,65,0,90,90,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,0,0,90,90,0.25,1,2d,wpn_left,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_plr_pap,raw\sound\wpn\pap\pap_shot_st.LN65.pc.snd.wav,wpn_judge_flux_l_plr_pap,loaded,bus_hdrfx,grp_weapon,snp_wpn_1p,,70,0,87,87,0,5000,5000,allon,default,allon,default,1,8,oldest,oldest,0,0,90,90,0.25,1,2d,wpn_all,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_fire_plr_rh,raw\sound\wpn\pistol\judge\plr\shot\wpn_judge_shot_plr.LN65.pc.snd.wav,wpn_judge_LFE,loaded,bus_fx,grp_weapon,snp_wpn_1p,wpn_cmn_shot_plr,65,0,90,90,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,0,0,90,90,0.25,1,2d,wpn_right,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_flux_l_npc_pap,raw\sound\wpn\pap\pap_flux_left.LN65.pc.snd.wav,wpn_judge_flux_r_npc_pap,loaded,bus_fx,grp_weapon,snp_wpn_3p,,84,0,75,75,25,900,900,allon,default,allon,default,8,4,priority,priority,-34,34,85,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,left_shot,4000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_flux_l_plr_pap,raw\sound\wpn\pap\pap_flux_left.LN65.pc.snd.wav,wpn_judge_flux_r_plr_pap,loaded,bus_fx,grp_weapon,snp_wpn_3p,,84,0,75,75,25,900,900,allon,default,allon,default,8,4,priority,priority,-34,34,85,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,left_shot,4000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_flux_r_npc_pap,raw\sound\wpn\pap\pap_flux_right.LN65.pc.snd.wav,wpn_judge_fire_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,84,0,75,75,25,900,900,allon,default,allon,default,8,4,priority,priority,-34,34,85,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,right_shot,4000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_flux_r_plr_pap,raw\sound\wpn\pap\pap_flux_right.LN65.pc.snd.wav,wpn_judge_fire_plr,loaded,bus_fx,grp_weapon,snp_wpn_3p,,84,0,75,75,25,900,900,allon,default,allon,default,8,4,priority,priority,-34,34,85,90,0.25,1,3d,default,nonlooping,pitch,1,0,0,0,0,0.25,no,no,right_shot,4000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_LFE,raw\sound\wpn\pistol\357\lfe\wpn_357_fire_lfe.LN65.pc.snd.wav,wpn_judge_fire_plr_decay,loaded,bus_hdrfx,grp_wpn_lfe,snp_wpn_1p,,0,0,86,86,0,5000,5000,allon,default,allon,default,2,2,priority,oldest,0,0,85,90,0.25,1,2d,lfe,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_LFE_npc,raw\sound\wpn\pistol\357\lfe\wpn_357_fire_lfe.LN65.pc.snd.wav,wpn_judge_fire_npc_dist,loaded,bus_hdrfx,grp_wpn_lfe,snp_wpn_3p,,0,0,81,81,25,225,225,allon,default,allon,default,2,1,priority,oldest,0,0,40,90,0.25,0.75,3d,lfe,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_pickup_npc,raw\sound\fly\pickups\weapon\fly_weapon_pickup_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,2,1,priority,reject,-50,50,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_pickup_npc,raw\sound\fly\pickups\weapon\fly_weapon_pickup_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,2,1,priority,reject,-50,50,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_pickup_plr,raw\sound\fly\pickups\weapon\fly_weapon_pickup_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,0,5000,5000,allon,default,allon,default,1,8,reject,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_pickup_plr,raw\sound\fly\pickups\weapon\fly_weapon_pickup_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,0,5000,5000,allon,default,allon,default,1,8,reject,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_raise_npc,raw\sound\fly\gear\rattle\fly_cloth_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_raise_npc,raw\sound\fly\gear\rattle\fly_cloth_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_raise_npc,raw\sound\fly\gear\rattle\fly_cloth_02.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_raise_npc,raw\sound\fly\gear\rattle\fly_cloth_03.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_silencer_fire_npc,raw\sound\wpn\pistol\fiveseven\plr\shot\silenced\wpn_fiveseven_sil_shot_plr.LN65.pc.snd.wav,wpn_judge_silencer_LFE_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,0,0,85,85,900,900,900,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,-50,50,20,90,0.25,0.8,3d,default,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_silencer_fire_npc_decay,raw\sound\wpn\pistol\decay\ext\silenced\wpn_pistol_decay_silenced_ext.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,75,75,50,900,900,allon,default,rcurve1,default,10,1,reject,oldest,-100,100,20,70,0.15,1,3d,quad,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,ringoff_plr,outdoor,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_silencer_fire_npc_decay,raw\sound\wpn\pistol\decay\int\silenced\wpn_pistol_decay_silenced_int.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,75,75,50,900,900,allon,default,rcurve1,default,10,1,reject,oldest,-100,100,20,70,0.15,1,3d,quad,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,ringoff_plr,indoor,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_silencer_fire_plr,raw\sound\wpn\pistol\fiveseven\plr\shot\silenced\wpn_fiveseven_sil_shot_plr.LN65.pc.snd.wav,wpn_judge_silencer_LFE,loaded,bus_fx,grp_weapon,snp_wpn_1p,wpn_cmn_suppressed_plr,0,0,90,90,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,-25,-25,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_silencer_fire_plr_decay,raw\sound\wpn\pistol\decay\ext\silenced\wpn_pistol_decay_silenced_ext.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,75,0,80,80,0,5000,5000,allon,default,allon,default,3,8,oldest,oldest,-50,50,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,ringoff_plr,outdoor,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_silencer_fire_plr_decay,raw\sound\wpn\pistol\decay\int\silenced\wpn_pistol_decay_silenced_int.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,75,0,83,83,0,5000,5000,allon,default,allon,default,3,8,oldest,oldest,-50,50,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,ringoff_plr,indoor,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_silencer_LFE,raw\sound\wpn\smg\mp7\plr\lfe\wpn_mp7_fire_lfe.LN65.pc.snd.wav,wpn_judge_silencer_fire_plr_decay,loaded,bus_hdrfx,grp_wpn_lfe,snp_wpn_1p,,0,0,86,86,0,5000,5000,allon,default,allon,default,2,2,priority,oldest,0,0,85,90,0.25,1,2d,lfe,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
wpn_judge_silencer_LFE_npc,raw\sound\wpn\smg\mp7\plr\lfe\wpn_mp7_fire_lfe.LN65.pc.snd.wav,wpn_judge_silencer_fire_npc_decay,loaded,bus_hdrfx,grp_wpn_lfe,snp_wpn_3p,,0,0,81,81,25,225,225,allon,default,allon,default,3,1,priority,oldest,0,0,40,90,0.25,0.75,3d,lfe,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
fly_hk416_bolt_back,raw\sound\wpn\assault\reload\fly_assault_bb.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_hk416_bolt_release,raw\sound\wpn\assault\reload\fly_assault_bf.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_hk416_button,raw\sound\wpn\assault\m16\reload\fly_m16_button.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_hk416_charge,raw\sound\wpn\assault\reload\fly_assault_charge.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_hk416_mag_in,raw\sound\wpn\assault\reload\fly_assault_mag_in.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
fly_hk416_mag_out,raw\sound\wpn\assault\reload\fly_assault_mag_out.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_hk416_1straise_npc,raw\sound\fly\gear\rattle\fly_cloth_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_hk416_1straise_npc,raw\sound\fly\gear\rattle\fly_cloth_01.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_hk416_1straise_npc,raw\sound\fly\gear\rattle\fly_cloth_02.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_hk416_1straise_npc,raw\sound\fly\gear\rattle\fly_cloth_03.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,75,75,75,500,500,allon,default,allon,default,4,8,priority,oldest,-90,90,15,30,0.25,1,3d,default,nonlooping,,1,0,25,250,75,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_hk416_1straise_plr,raw\sound\fly\gear\rattle\long\fly_cloth_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_foley,snp_foley,,30,0,86,89,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,-88,84,70,70,0.25,1,2d,front,nonlooping,,1,0,0,0,0,0.25,no,yes,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_hk416_dryfire_npc,raw\sound\wpn\assault\dry_fire\npc\dry_fire_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,82,82,900,900,901,cosdelay,alloff,cosdelay,default,8,2,priority,oldest,-125,125,40,90,0.25,0.8,3d,default,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_hk416_dryfire_plr,raw\sound\wpn\assault\dry_fire\plr\dry_fire_00.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_1p,,65,0,93,93,0,5000,5000,allon,default,allon,default,3,8,oldest,oldest,0,0,90,90,0.25,1,2d,front_mostly,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_hk416_fire_npc,raw\sound\wpn\assault\m27\plr\shot\wpn_m27_shot_plr.LN65.pc.snd.wav,wpn_hk416_LFE_npc,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,82,82,900,900,901,cosdelay,alloff,cosdelay,default,8,2,priority,oldest,-25,25,40,90,0.25,0.8,3d,default,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_hk416_fire_npc_decay,raw\sound\wpn\assault\decay\ext\wpn_assault_decay_ext.LN65.pc.snd.wav,,loaded,bus_fx,grp_weapon,snp_wpn_3p,,55,0,77,77,50,900,900,allon,default,rcurve1,default,3,1,priority,oldest,-100,100,20,70,0.15,1,3d,quad,nonlooping,,1,0,0,0,0,0.25,no,no,none,0,,no,ringoff_plr,outdoor,yes,no,no,0,0,yes,no,,0,,no,no,no
